ID SERVIÇO;PROCESSO;SEI;TIPO;ANALISTA;ORGAO RESPONSAVEL;ANALISE;ANO;VIA;UF;DATA FINALIZACAO;DESCRICAO SERVICO;QUANTITATIVO INICIAL;UNIDADE INICIAL;PRECO UNITARIO INICIAL;MES BASE INICIAL;ANO BASE INICIAL;PRECO TOTAL INICIAL;QUANTITATIVO FINAL;UNIDADE FINAL;PREÇO UNITARIO FINAL;MES BASE FINAL;ANO BASE FINAL;PRECO TOTAL FINAL;MODALIDADE;TIPO DE INDICE;INDICE INICIAL;INDICE FINAL;INDICE ATUAL;ECONOMIA ATUAL;PESO POR UF;VARIACAO FINAL X INICIAL ATUAL;VARIACAO PONDERADA ATUAL
1;50621.001625/2018-97;5753635;RPFO;Rodrigo Lima;DNIT;AT n. 01/2019;2019;BR-101;SE;03/01/2019;Escavação manual de fuste de tubulão a céu aberto na profundidade de até 10 m em material de 3ª categoria. ;21,54;m³;R$ 1.322,56;Setembro;2008;R$ 59.251,57;21,54;m³;R$ 1.429,93;Setembro;2008;R$ 64.061,82;RODOVIÁRIO;IGP-DI;401,327;401,327;834,713;R$ 4.810,25;15,04%;8,12%;1,22%
2;50621.001625/2018-97;5753635;RPFO;Rodrigo Lima;DNIT;AT n. 01/2019;2019;BR-101;SE;03/01/2019;Base alargada de tubulão a céu aberto em materiais de 3ª categoria a frio na profundidade até 10 m, inclusive concretagem.;38,12;m³;R$ 1.491,54;Setembro;2008;R$ 118.256,93;38,12;m³;R$ 1.612,63;Setembro;2008;R$ 127.857,56;RODOVIÁRIO;IGP-DI;401,327;401,327;834,713;R$ 9.600,64;30,01%;8,12%;2,44%
3;50621.001625/2018-97;5753635;RPFO;Rodrigo Lima;DNIT;AT n. 01/2019;2019;BR-101;SE;03/01/2019;Complementação de sinalização com utilização de bandeirinhas diurnos para operação PARE/SIGA, durante implantação dos serviços sobre o tabuleiro. ;17,67;mês;R$ 5.890,97;Setembro;2008;R$ 216.502,12;17,67;mês;R$ 6.369,23;Setembro;2008;R$ 234.078,91;RODOVIÁRIO;IGP-DI;401,327;401,327;834,713;R$ 17.576,78;54,95%;8,12%;4,46%
4;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Escavação, carga e transporte de material de 1ª categoria DMT 21.000 a 22.000 c/e.;286;m³;R$ 39,07;Novembro;2016;R$ 14.381,22;286;m³;R$ 20,70;Novembro;2016;R$ 7.619,43;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;-R$ 6.761,79;0,18%;-47,02%;-0,09%
5;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Escavação, carga e transporte de material de 1ª categoria DMT 19.300 a 20.300m c/e.;800;m³;R$ 36,88;Novembro;2016;R$ 37.972,33;800;m³;R$ 19,39;Novembro;2016;R$ 19.964,30;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;-R$ 18.008,03;0,48%;-47,42%;-0,23%
6;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Escavação, carga e transporte de material de 1ª categoria DMT 17.750 a 18.750 c/e.;123;m³;R$ 34,87;Novembro;2016;R$ 5.520,06;123;m³;R$ 18,20;Novembro;2016;R$ 2.881,13;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;-R$ 2.638,93;0,07%;-47,81%;-0,03%
7;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Boca de lobo combinada – chapéu e grelha simples – BLC 02.;4;und;R$ 2.241,81;Novembro;2016;R$ 11.541,05;4;und;R$ 2.242,01;Novembro;2016;R$ 11.542,07;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;R$ 1,03;0,28%;0,01%;0,00%
8;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Estacas pré-moldadas centrifugadas D= 26 cm – cravada.;3800;m;R$ 163,81;Novembro;2016;R$ 801.143,58;3800;m;R$ 163,81;Novembro;2016;R$ 801.143,58;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713; R$-   ;19,22%;0,00%;0,00%
9;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Lançamento de viga pré-moldada de até 500 kN com  utilização de guindaste.;108;und;R$ 2.549,84;Novembro;2016;R$ 354.423,93;108;und;R$ 2.549,84;Novembro;2016;R$ 354.423,93;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713; R$-   ;8,50%;0,00%;0,00%
10;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Fornecimento, corte e colocação de cabos de aço Ø 15,2 mm – aço CP-190 RB.;7423,56;kg;R$ 8,88;Novembro;2016;R$ 84.842,12;7423,56;kg;R$ 8,88;Novembro;2016;R$ 84.842,12;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713; R$-   ;2,04%;0,00%;0,00%
