name,season,chapter,airdate,info,rating,total_votes,z_score
Breaking Bad,1,1,20 Jan. 2008,Pilot,9.0,"23,425",0.9678
Breaking Bad,1,2,27 Jan. 2008,Cat's in the Bag...,8.7,"16,853",0.5591
Breaking Bad,1,3,10 Feb. 2008,...And the Bag's in the River,8.8,"16,334",0.6953
Breaking Bad,1,4,17 Feb. 2008,Cancer Man,8.3,"15,847",0.0141
Breaking Bad,1,5,24 Feb. 2008,Gray Matter,8.4,"15,530",0.1503
Breaking Bad,1,6,2 Mar. 2008,Crazy Handful of Nothin',9.3,"18,009",1.3765
Breaking Bad,1,7,9 Mar. 2008,A No-Rough-Stuff-Type Deal,8.9,"15,830",0.8315
Breaking Bad,2,1,8 Mar. 2009,Seven Thirty-Seven,8.7,"14,167",0.5591
Breaking Bad,2,2,15 Mar. 2009,Grilled,9.3,"16,524",1.3765
Breaking Bad,2,3,22 Mar. 2009,Bit by a Dead Bee,8.4,"13,740",0.1503
Breaking Bad,2,4,29 Mar. 2009,Down,8.3,"13,876",0.0141
Breaking Bad,2,5,5 Apr. 2009,Breakage,8.4,"13,457",0.1503
Breaking Bad,2,6,12 Apr. 2009,Peekaboo,8.9,"14,887",0.8315
Breaking Bad,2,7,19 Apr. 2009,Negro Y Azul,8.7,"13,414",0.5591
Breaking Bad,2,8,26 Apr. 2009,Better Call Saul,9.2,"15,820",1.2403
Breaking Bad,2,9,3 May 2009,4 Days Out,9.1,"15,356",1.1040
Breaking Bad,2,10,10 May 2009,Over,8.6,"13,146",0.4228
Breaking Bad,2,11,17 May 2009,Mandala,8.9,"13,598",0.8315
Breaking Bad,2,12,24 May 2009,Phoenix,9.3,"15,286",1.3765
Breaking Bad,2,13,31 May 2009,ABQ,9.3,"15,287",1.3765
Breaking Bad,3,1,21 Mar. 2010,No Más,8.6,"13,023",0.4228
Breaking Bad,3,2,28 Mar. 2010,Caballo sin Nombre,8.7,"12,609",0.5591
Breaking Bad,3,3,4 Apr. 2010,I.F.T.,8.5,"12,660",0.2866
Breaking Bad,3,4,11 Apr. 2010,Green Light,8.3,"12,913",0.0141
Breaking Bad,3,5,18 Apr. 2010,Más,8.7,"12,274",0.5591
Breaking Bad,3,6,25 Apr. 2010,Sunset,9.3,"14,692",1.3765
Breaking Bad,3,7,2 May 2010,One Minute,9.6,"18,174",1.7853
Breaking Bad,3,8,9 May 2010,I See You,8.8,"12,721",0.6953
Breaking Bad,3,9,16 May 2010,Kafkaesque,8.5,"12,622",0.2866
Breaking Bad,3,10,23 May 2010,Fly,7.8,"22,164",-0.6672
Breaking Bad,3,11,30 May 2010,Abiquiu,8.5,"12,490",0.2866
Breaking Bad,3,12,6 Jun. 2010,Half Measures,9.5,"17,556",1.6490
Breaking Bad,3,13,13 Jun. 2010,Full Measure,9.7,"19,756",1.9215
Breaking Bad,4,1,17 Jul. 2011,Box Cutter,9.2,"15,807",1.2403
Breaking Bad,4,2,24 Jul. 2011,Thirty-Eight Snub,8.3,"13,110",0.0141
Breaking Bad,4,3,31 Jul. 2011,Open House,8.1,"13,235",-0.2584
Breaking Bad,4,4,7 Aug. 2011,Bullet Points,8.7,"12,349",0.5591
Breaking Bad,4,5,14 Aug. 2011,Shotgun,8.7,"12,377",0.5591
Breaking Bad,4,6,21 Aug. 2011,Cornered,8.5,"12,539",0.2866
Breaking Bad,4,7,28 Aug. 2011,Problem Dog,8.9,"13,056",0.8315
Breaking Bad,4,8,4 Sep. 2011,Hermanos,9.3,"14,728",1.3765
Breaking Bad,4,9,11 Sep. 2011,Bug,8.9,"13,177",0.8315
Breaking Bad,4,10,18 Sep. 2011,Salud,9.6,"18,636",1.7853
Breaking Bad,4,11,25 Sep. 2011,Crawl Space,9.7,"21,538",1.9215
Breaking Bad,4,12,2 Oct. 2011,End Times,9.5,"16,674",1.6490
Breaking Bad,4,13,9 Oct. 2011,Face Off,9.9,"40,167",2.1940
Breaking Bad,5,1,15 Jul. 2012,Live Free or Die,9.3,"18,688",1.3765
Breaking Bad,5,2,22 Jul. 2012,Madrigal,8.9,"15,679",0.8315
Breaking Bad,5,3,29 Jul. 2012,Hazard Pay,8.9,"15,209",0.8315
Breaking Bad,5,4,5 Aug. 2012,Fifty-One,8.9,"15,314",0.8315
Breaking Bad,5,5,12 Aug. 2012,Dead Freight,9.7,"22,804",1.9215
Breaking Bad,5,6,19 Aug. 2012,Buyout,9.1,"15,675",1.1040
Breaking Bad,5,7,26 Aug. 2012,Say My Name,9.6,"20,110",1.7853
Breaking Bad,5,8,2 Sep. 2012,Gliding Over All,9.6,"20,842",1.7853
Breaking Bad,5,9,11 Aug. 2013,Blood Money,9.5,"20,284",1.6490
Breaking Bad,5,10,18 Aug. 2013,Buried,9.2,"17,572",1.2403
Breaking Bad,5,11,25 Aug. 2013,Confessions,9.6,"21,665",1.7853
Breaking Bad,5,12,1 Sep. 2013,Rabid Dog,9.2,"18,348",1.2403
Breaking Bad,5,13,8 Sep. 2013,To'hajiilee,9.8,"30,948",2.0578
Breaking Bad,5,14,15 Sep. 2013,Ozymandias,10.0,"116,705",2.3303
Breaking Bad,5,15,22 Sep. 2013,Granite State,9.7,"31,273",1.9215
Breaking Bad,5,16,29 Sep. 2013,Felina,9.9,"83,281",2.1940
Big Bang Theory,1,0,1 May 2006,Unaired Pilot,6.7,"1,758",-2.1659
Big Bang Theory,1,1,24 Sep. 2007,Pilot,8.3,"5,099",0.0141
Big Bang Theory,1,2,1 Oct. 2007,The Big Bran Hypothesis,8.3,"4,024",0.0141
Big Bang Theory,1,3,8 Oct. 2007,The Fuzzy Boots Corollary,7.8,"3,545",-0.6672
Big Bang Theory,1,4,15 Oct. 2007,The Luminous Fish Effect,8.2,"3,602",-0.1222
Big Bang Theory,1,5,22 Oct. 2007,The Hamburger Postulate,8.0,"3,405",-0.3947
Big Bang Theory,1,6,29 Oct. 2007,The Middle Earth Paradigm,8.5,"3,568",0.2866
Big Bang Theory,1,7,5 Nov. 2007,The Dumpling Paradox,8.2,"3,348",-0.1222
Big Bang Theory,1,8,12 Nov. 2007,The Grasshopper Experiment,8.3,"3,372",0.0141
Big Bang Theory,1,9,17 Mar. 2008,The Cooper-Hofstadter Polarization,8.1,"3,249",-0.2584
Big Bang Theory,1,10,24 Mar. 2008,The Loobenfeld Decay,8.1,"3,316",-0.2584
Big Bang Theory,1,11,31 Mar. 2008,The Pancake Batter Anomaly,8.3,"3,305",0.0141
Big Bang Theory,1,12,14 Apr. 2008,The Jerusalem Duality,8.0,"3,136",-0.3947
Big Bang Theory,1,13,21 Apr. 2008,The Bat Jar Conjecture,8.4,"3,228",0.1503
Big Bang Theory,1,14,28 Apr. 2008,The Nerdvana Annihilation,8.1,"3,193",-0.2584
Big Bang Theory,1,15,5 May 2008,The Pork Chop Indeterminacy,8.3,"3,367",0.0141
Big Bang Theory,1,16,12 May 2008,The Peanut Reaction,8.4,"3,166",0.1503
Big Bang Theory,1,17,19 May 2008,The Tangerine Factor,8.6,"3,318",0.4228
Big Bang Theory,2,1,22 Sep. 2008,The Bad Fish Paradigm,8.3,"3,234",0.0141
Big Bang Theory,2,2,29 Sep. 2008,The Codpiece Topology,8.2,"2,968",-0.1222
Big Bang Theory,2,3,6 Oct. 2008,The Barbarian Sublimation,8.8,"3,454",0.6953
Big Bang Theory,2,4,13 Oct. 2008,The Griffin Equivalency,8.0,"2,985",-0.3947
Big Bang Theory,2,5,20 Oct. 2008,The Euclid Alternative,8.4,"3,055",0.1503
Big Bang Theory,2,6,3 Nov. 2008,The Cooper-Nowitzki Theorem,8.3,"3,079",0.0141
Big Bang Theory,2,7,10 Nov. 2008,The Panty Piñata Polarization,8.7,"3,267",0.5591
Big Bang Theory,2,8,17 Nov. 2008,The Lizard-Spock Expansion,8.2,"2,932",-0.1222
Big Bang Theory,2,9,24 Nov. 2008,The White Asparagus Triangulation,8.2,"2,903",-0.1222
Big Bang Theory,2,10,8 Dec. 2008,The Vartabedian Conundrum,7.8,"2,841",-0.6672
Big Bang Theory,2,11,15 Dec. 2008,The Bath Item Gift Hypothesis,9.2,"4,932",1.2403
Big Bang Theory,2,12,12 Jan. 2009,The Killer Robot Instability,8.0,"2,855",-0.3947
Big Bang Theory,2,13,19 Jan. 2009,The Friendship Algorithm,8.1,"2,867",-0.2584
Big Bang Theory,2,14,2 Feb. 2009,The Financial Permeability,8.1,"2,825",-0.2584
Big Bang Theory,2,15,9 Feb. 2009,The Maternal Capacitance,8.9,"3,470",0.8315
Big Bang Theory,2,16,2 Mar. 2009,The Cushion Saturation,8.3,"2,852",0.0141
Big Bang Theory,2,17,9 Mar. 2009,The Terminator Decoupling,8.2,"3,141",-0.1222
Big Bang Theory,2,18,16 Mar. 2009,The Work Song Nanocluster,8.2,"2,868",-0.1222
Big Bang Theory,2,19,30 Mar. 2009,The Dead Hooker Juxtaposition,8.3,"2,906",0.0141
Big Bang Theory,2,20,13 Apr. 2009,The Hofstadter Isotope,8.0,"2,781",-0.3947
Big Bang Theory,2,21,27 Apr. 2009,The Vegas Renormalization,8.6,"3,025",0.4228
Big Bang Theory,2,22,4 May 2009,The Classified Materials Turbulence,8.3,"2,751",0.0141
Big Bang Theory,2,23,11 May 2009,The Monopolar Expedition,8.4,"2,839",0.1503
Big Bang Theory,3,1,21 Sep. 2009,The Electric Can Opener Fluctuation,8.4,"3,078",0.1503
Big Bang Theory,3,2,28 Sep. 2009,The Jiminy Conjecture,7.9,"2,775",-0.5309
