Data;PIB a preços de 1995(1428699);PIB a preços correntes(1428698)
01/2000;60327,000;88673,000
02/2000;62453,000;92218,000
03/2000;65017,000;96035,000
04/2000;63207,000;94626,000
05/2000;65827,000;99041,000
06/2000;65561,000;99120,000
07/2000;67009,000;101659,000
08/2000;68332,000;105308,000
09/2000;66192,000;101927,000
10/2000;67825,000;107862,000
11/2000;67548,000;107546,000
12/2000;65804,000;105071,000
01/2001;63289,000;101329,000
02/2001;63113,000;101360,000
03/2001;67922,000;109779,000
04/2001;65756,000;106494,000
05/2001;67532,000;109780,000
06/2001;65833,000;107448,000
07/2001;68064,000;110707,000
08/2001;68555,000;113064,000
09/2001;65843,000;108752,000
10/2001;67971,000;117229,000
11/2001;67275,000;116836,000
12/2001;64862,000;112971,000
01/2002;64054,000;111202,000
02/2002;64368,000;113203,000
03/2002;66829,000;117890,000
04/2002;68408,000;123383,000
05/2002;68008,000;122387,000
06/2002;67282,000;121591,000
07/2002;70473,000;125482,000
08/2002;70741,000;127323,000
09/2002;69701,000;126988,000
10/2002;71924,000;132772,000
11/2002;70499,000;134334,000
12/2002;68037,000;132226,000
01/2003;64951,000;125888,000
02/2003;66367,000;132360,000
03/2003;69141,000;138992,000
04/2003;69240,000;141939,000
05/2003;68591,000;140167,000
06/2003;67459,000;136880,000
07/2003;70760,000;145529,000
08/2003;70225,000;145166,000
09/2003;71250,000;148653,000
10/2003;72294,000;157137,000
11/2003;70584,000;154482,000
12/2003;68820,000;150751,000
01/2004;67059,000;141261,000
02/2004;67190,000;143427,000
03/2004;73983,000;160094,000
04/2004;72643,000;160093,000
05/2004;72516,000;159811,000
06/2004;73080,000;161889,000
07/2004;75668,000;167225,000
08/2004;75629,000;168945,000
09/2004;74859,000;169081,000
10/2004;75100,000;174611,000
11/2004;75352,000;176454,000
12/2004;74392,000;174854,000
01/2005;70436,000;162562,000
02/2005;70156,000;160965,000
03/2005;76353,000;176181,000
04/2005;76445,000;177249,000
05/2005;75647,000;178703,000
06/2005;75914,000;179604,000
07/2005;76602,000;182099,000
08/2005;78290,000;187835,000
09/2005;76047,000;182924,000
10/2005;76518,000;193300,000
11/2005;76542,000;193985,000
12/2005;76619,000;195171,000
01/2006;73933,000;181048,000
02/2006;73165,000;179189,000
